gadm_L3number,plate_number,province_upper,NUTS_level1,NUTS_level1_name,NUTS_level2,metropolitan,TYT_placement_YKS2021,SOZ_placement_YKS2021,SAY_placement_YKS2021,EA_placement_YKS2021,DIL_placement_YKS2021,average_YKS2021
67,55,SAMSUN,TR8,Bati Karadeniz,TR83,1,1168741,467315,441732,603559,43311,544932
68,63,SANLIURFA,TRC,Guneydogu Anadolu,TRC2,1,1285415,474958,471287,630762,55599,583604
69,56,SIIRT,TRC,Guneydogu Anadolu,TRC3,0,1305609,446432,475867,623637,55143,581338
70,57,SINOP,TR8,Bati Karadeniz,TR82,0,1265093,480499,466800,641264,46371,580005
71,73,SIRNAK,TRC,Guneydogu Anadolu,TRC3,0,1379328,475792,491210,664851,59636,614163
72,58,SIVAS,TR7,Orta Anadolu,TR72,0,1195256,457066,461882,614505,49509,555644
73,59,TEKIRDAG,TR2,Bati Marmara,TR21,1,1229040,478065,470038,639213,44070,572085
74,60,TOKAT,TR8,Bati Karadeniz,TR83,0,1201258,463864,454131,606384,47517,554631
75,61,TRABZON,TR9,Dogu Karadeniz,TR90,1,1168787,468373,446709,612326,45737,548386
76,62,TUNCELI,TRB,Ortadogu Anadolu,TRB1,0,1329546,474879,482565,627023,51873,593177
77,64,USAK,TR3,Ege,TR33,0,1143900,473593,449508,602358,48712,543614
78,65,VAN,TRB,Ortadogu Anadolu,TRB2,1,1249148,450403,474285,629370,55296,571700
79,77,YALOVA,TR4,Dogu Marmara,TR42,0,1177704,480742,464368,626341,41796,558190
80,66,YOZGAT,TR7,Orta Anadolu,TR72,0,1206315,452184,471796,613464,50270,558806
81,67,ZONGULDAK,TR8,Bati Karadeniz,TR81,0,1186858,482756,446625,626393,46597,557846
