gadm_L3number,plate_number,province_upper,NUTS_level1,NUTS_level1_name,NUTS_level2,metropolitan,class_state_pre_21_22,class_private_pre_21_22,class_total_pre_21_22,class_state_ele_21_22,class_private_ele_21_22,class_total_ele_21_22,class_state_mid_21_22,class_private_mid_21_22,class_total_mid_21_22,class_state_high_21_22,class_private_high_21_22,class_total_high_21_22,state_total_class_21_22,private_total_class_21_22,total_class_21_22,class_state_pre_20_21,class_private_pre_20_21,class_total_pre_20_21,class_state_ele_20_21,class_private_ele_20_21,class_total_ele_20_21,class_state_mid_20_21,class_private_mid_20_21,class_total_mid_20_21,class_state_high_20_21,class_private_high_20_21,class_total_high_20_21,state_total_class_20_21,private_total_class_20_21,total_class_20_21,class_state_pre_19_20,class_private_pre_19_20,class_total_pre_19_20,class_state_ele_19_20,class_private_ele_19_20,class_total_ele_19_20,class_state_mid_19_20,class_private_mid_19_20,class_total_mid_19_20,class_state_high_19_20,class_private_high_19_20,class_total_high_19_20,state_total_class_19_20,private_total_class_19_20,total_class_19_20,class_state_pre_18_19,class_private_pre_18_19,class_total_pre_18_19,class_state_ele_18_19,class_private_ele_18_19,class_total_ele_18_19,class_state_mid_18_19,class_private_mid_18_19,class_total_mid_18_19,class_state_high_18_19,class_private_high_18_19,class_total_high_18_19,state_total_class_18_19,private_total_class_18_19,total_class_18_19,class_state_pre_17_18,class_private_pre_17_18,class_total_pre_17_18,class_state_ele_17_18,class_private_ele_17_18,class_total_ele_17_18,class_state_mid_17_18,class_private_mid_17_18,class_total_mid_17_18,class_state_high_17_18,class_private_high_17_18,class_total_high_17_18,state_total_class_17_18,private_total_class_17_18,total_class_17_18,class_state_pre_16_17,class_private_pre_16_17,class_total_pre_16_17,class_state_ele_16_17,class_private_ele_16_17,class_total_ele_16_17,class_state_mid_16_17,class_private_mid_16_17,class_total_mid_16_17,class_state_high_16_17,class_private_high_16_17,class_total_high_16_17,state_total_class_16_17,private_total_class_16_17,total_class_16_17,class_state_pre_15_16,class_private_pre_15_16,class_total_pre_15_16,class_state_ele_15_16,class_private_ele_15_16,class_total_ele_15_16,class_state_mid_15_16,class_private_mid_15_16,class_total_mid_15_16,class_state_high_15_16,class_private_high_15_16,class_total_high_15_16,state_total_class_15_16,private_total_class_15_16,total_class_15_16,class_state_pre_14_15,class_private_pre_14_15,class_total_pre_14_15,class_state_ele_14_15,class_private_ele_14_15,class_total_ele_14_15,class_state_mid_14_15,class_private_mid_14_15,class_total_mid_14_15,class_state_high_14_15,class_private_high_14_15,class_total_high_14_15,state_total_class_14_15,private_total_class_14_15,total_class_14_15,class_state_pre_13_14,class_private_pre_13_14,class_total_pre_13_14,class_state_ele_13_14,class_private_ele_13_14,class_total_ele_13_14,class_state_mid_13_14,class_private_mid_13_14,class_total_mid_13_14,class_state_high_13_14,class_private_high_13_14,class_total_high_13_14,state_total_class_13_14,private_total_class_13_14,total_class_13_14,state_total_class_12_13,private_total_class_12_13,total_class_12_13,state_total_class_02_03,private_total_class_02_03,total_class_02_03
46,37,KASTAMONU,TR8,Bati Karadeniz,TR82,0,155,66,221,1052,46,1098,855,40,895,945,83,1028,3007,235,3242,104,40,144,1034,33,1067,825,36,861,927,61,988,2890,170,3060,106,53,159,1007,41,1048,848,36,884,921,74,995,2882,204,3086,111,45,156,967,30,997,825,24,849,868,52,920,2771,151,2922,110,39,149,983,34,1017,787,24,811,859,56,915,2739,153,2892,91,40,131,1090,34,1124,869,23,892,865,53,918,2915,150,3065,67,27,94,1104,44,1148,828,33,861,821,54,875,2820,158,2978,56,28,84,1148,43,1191,695,31,726,827,13,840,2726,115,2841,48,22,70,1252,35,1287,555,30,585,746,13,759,2601,100,2701,1825,48,1873,599,0,599
47,38,KAYSERI,TR7,Orta Anadolu,TR72,1,609,325,934,4861,585,5446,2627,238,2865,3248,728,3976,11345,1876,13221,577,302,879,4786,583,5369,2631,217,2848,3174,716,3890,11168,1818,12986,560,329,889,4745,561,5306,2604,210,2814,3151,737,3888,11060,1837,12897,549,327,876,4565,608,5173,2516,191,2707,3068,852,3920,10698,1978,12676,473,275,748,4572,575,5147,2342,190,2532,3064,764,3828,10451,1804,12255,448,236,684,4530,456,4986,2218,145,2363,3095,628,3723,10291,1465,11756,389,194,583,4349,493,4842,1988,247,2235,2687,813,3500,9413,1747,11160,268,163,431,4379,451,4830,1864,96,1960,2676,328,3004,9187,1038,10225,250,134,384,4376,353,4729,1776,138,1914,2481,304,2785,8883,929,9812,6322,546,6868,1571,140,1711
48,79,KILIS,TRC,Guneydogu Anadolu,TRC1,0,77,31,108,676,0,676,665,32,697,484,94,578,1902,157,2059,53,9,62,625,0,625,616,61,677,469,60,529,1763,130,1893,62,16,78,550,0,550,593,25,618,430,18,448,1635,59,1694,78,17,95,527,0,527,600,26,626,413,0,413,1618,43,1661,79,14,93,514,5,519,650,26,676,412,0,412,1655,45,1700,65,14,79,519,5,524,584,27,611,402,0,402,1570,46,1616,36,6,42,431,0,431,472,62,534,349,0,349,1288,68,1356,30,3,33,360,0,360,447,45,492,321,0,321,1158,48,1206,26,4,30,299,0,299,492,46,538,285,0,285,1102,50,1152,836,47,883,172,0,172
49,71,KIRIKKALE,TR7,Orta Anadolu,TR71,0,123,75,198,875,116,991,739,140,879,657,128,785,2394,459,2853,105,70,175,866,124,990,734,147,881,684,205,889,2389,546,2935,133,66,199,882,82,964,688,154,842,706,209,915,2409,511,2920,112,51,163,893,81,974,633,157,790,731,218,949,2369,507,2876,88,52,140,919,83,1002,690,94,784,750,218,968,2447,447,2894,89,48,137,985,57,1042,680,81,761,777,168,945,2531,354,2885,58,41,99,993,86,1079,648,87,735,703,217,920,2402,431,2833,59,26,85,1028,93,1121,654,42,696,762,19,781,2503,180,2683,40,31,71,941,38,979,641,75,716,710,69,779,2332,213,2545,1867,136,2003,476,39,515
50,39,KIRKLARELI,TR2,Bati Marmara,TR21,0,124,86,210,955,87,1042,712,84,796,681,125,806,2472,382,2854,125,78,203,944,86,1030,729,78,807,679,131,810,2477,373,2850,129,91,220,898,94,992,730,79,809,694,119,813,2451,383,2834,98,61,159,914,65,979,721,49,770,683,153,836,2416,328,2744,73,44,117,964,54,1018,698,59,757,647,106,753,2382,263,2645,53,35,88,952,44,996,676,24,700,672,101,773,2353,204,2557,50,19,69,987,52,1039,632,53,685,645,111,756,2314,235,2549,42,14,56,956,36,992,653,46,699,618,91,709,2269,187,2456,41,17,58,1058,66,1124,581,18,599,589,54,643,2269,155,2424,1667,49,1716,474,20,494
51,40,KIRSEHIR,TR7,Orta Anadolu,TR71,0,93,52,145,805,38,843,575,48,623,754,142,896,2227,280,2507,88,57,145,837,42,879,611,59,670,743,149,892,2279,307,2586,86,51,137,836,42,878,600,45,645,713,133,846,2235,271,2506,80,48,128,808,38,846,589,43,632,689,170,859,2166,299,2465,75,49,124,816,45,861,604,52,656,683,127,810,2178,273,2451,67,27,94,877,60,937,603,31,634,637,130,767,2184,248,2432,64,13,77,907,54,961,529,26,555,592,157,749,2092,250,2342,60,15,75,931,29,960,462,0,462,588,40,628,2041,84,2125,57,3,60,1047,35,1082,339,0,339,620,32,652,2063,70,2133,1447,80,1527,324,15,339
52,41,KOCAELI,TR4,Dogu Marmara,TR42,1,900,914,1814,5705,916,6621,3909,826,4735,4089,1322,5411,14603,3978,18581,822,921,1743,5560,853,6413,3889,761,4650,4069,1182,5251,14340,3717,18057,840,881,1721,5437,922,6359,3763,772,4535,3794,1263,5057,13834,3838,17672,811,819,1630,5327,806,6133,3695,664,4359,3686,1153,4839,13519,3442,16961,751,767,1518,5155,701,5856,3691,616,4307,3735,848,4583,13332,2932,16264,691,610,1301,5048,592,5640,3619,515,4134,3525,780,4305,12883,2497,15380,335,341,676,4988,716,5704,3468,436,3904,3163,837,4000,11954,2330,14284,179,213,392,4783,500,5283,3568,168,3736,3059,350,3409,11589,1231,12820,127,187,314,4255,442,4697,3202,135,3337,2818,410,3228,10402,1174,11576,7394,691,8085,1602,193,1795
53,42,KONYA,TR5,Bati Anadolu,TR52,1,935,650,1585,6915,635,7550,5320,590,5910,5690,928,6618,18860,2803,21663,709,434,1143,6868,683,7551,5435,508,5943,5579,953,6532,18591,2578,21169,680,485,1165,6896,655,7551,5364,481,5845,5295,989,6284,18235,2610,20845,629,464,1093,6867,611,7478,5494,463,5957,4994,934,5928,17984,2472,20456,650,525,1175,6969,562,7531,5417,401,5818,5097,911,6008,18133,2399,20532,520,511,1031,6849,520,7369,5161,264,5425,4943,763,5706,17473,2058,19531,246,251,497,6769,544,7313,4758,350,5108,4673,778,5451,16446,1923,18369,196,257,453,6814,451,7265,4623,268,4891,3342,299,3641,14975,1275,16250,157,235,392,6512,469,6981,4431,193,4624,3682,337,4019,14782,1234,16016,10813,772,11585,2287,235,2522
54,43,KUTAHYA,TR3,Ege,TR33,0,204,211,415,1768,182,1950,1244,175,1419,1374,173,1547,4590,741,5331,157,208,365,1796,180,1976,1276,156,1432,1410,141,1551,4639,685,5324,160,197,357,1812,164,1976,1476,159,1635,1463,169,1632,4911,689,5600,159,193,352,1787,176,1963,1521,152,1673,1439,156,1595,4906,677,5583,140,156,296,1848,156,2004,1512,83,1595,1440,165,1605,4940,560,5500,128,119,247,1847,128,1975,1449,164,1613,1383,83,1466,4807,494,5301,112,73,185,1955,147,2102,1382,148,1530,1333,134,1467,4782,502,5284,69,54,123,1741,71,1812,1274,91,1365,1249,27,1276,4333,243,4576,84,41,125,1758,107,1865,1314,100,1414,1291,42,1333,4447,290,4737,3088,239,3327,872,33,905
55,44,MALATYA,TRB,Ortadogu Anadolu,TRB1,1,302,230,532,2507,132,2639,1712,228,1940,2032,723,2755,6553,1313,7866,261,206,467,2415,132,2547,1773,292,2065,2007,695,2702,6456,1325,7781,260,226,486,2561,126,2687,1822,340,2162,2070,669,2739,6713,1361,8074,261,238,499,2503,119,2622,1787,357,2144,1910,724,2634,6461,1438,7899,248,204,452,2499,95,2594,1919,233,2152,1841,510,2351,6507,1042,7549,201,197,398,2468,71,2539,1919,208,2127,1701,448,2149,6289,924,7213,158,110,268,2456,165,2621,1642,227,1869,1639,542,2181,5895,1044,6939,132,93,225,2354,130,2484,1541,164,1705,1706,281,1987,5733,668,6401,139,81,220,2455,132,2587,1356,131,1487,1597,157,1754,5547,501,6048,3983,281,4264,1150,85,1235
56,45,MANISA,TR3,Ege,TR33,1,366,415,781,4158,403,4561,2954,245,3199,2764,514,3278,10242,1577,11819,315,382,697,4099,366,4465,2993,263,3256,2746,517,3263,10153,1528,11681,297,414,711,4264,401,4665,3066,296,3362,2761,507,3268,10388,1618,12006,277,339,616,4244,462,4706,3087,264,3351,2775,532,3307,10383,1597,11980,246,303,549,4151,310,4461,3057,327,3384,2771,488,3259,10225,1428,11653,243,341,584,4099,247,4346,3095,248,3343,2725,368,3093,10162,1204,11366,201,190,391,4198,307,4505,2870,381,3251,2459,488,2947,9728,1366,11094,176,137,313,4512,242,4754,2699,165,2864,2476,261,2737,9863,805,10668,154,135,289,4647,257,4904,2031,161,2192,2415,191,2606,9247,744,9991,6444,496,6940,1383,217,1600
57,47,MARDIN,TRC,Guneydogu Anadolu,TRC3,1,208,68,276,3619,97,3716,2361,128,2489,2200,430,2630,8388,723,9111,162,48,210,3469,107,3576,2249,150,2399,2158,394,2552,8038,699,8737,176,70,246,3310,94,3404,2104,147,2251,2089,300,2389,7679,611,8290,168,73,241,3210,98,3308,2025,141,2166,1956,348,2304,7359,660,8019,161,52,213,3495,67,3562,2073,91,2164,2064,299,2363,7793,509,8302,146,21,167,3242,36,3278,1992,45,2037,1774,263,2037,7154,365,7519,118,21,139,3463,60,3523,2096,83,2179,1591,292,1883,7268,456,7724,116,11,127,2982,41,3023,1390,34,1424,1465,124,1589,5953,210,6163,86,13,99,3384,49,3433,1035,39,1074,1295,85,1380,5800,186,5986,4387,95,4482,445,0,445
58,33,MERSIN,TR6,Akdeniz,TR62,1,577,649,1226,5754,806,6560,3037,624,3661,3861,1485,5346,13229,3564,16793,480,518,998,5719,814,6533,2986,667,3653,3853,1646,5499,13038,3645,16683,459,668,1127,5718,714,6432,2918,818,3736,3673,1813,5486,12768,4013,16781,427,527,954,5682,808,6490,2651,703,3354,3495,1560,5055,12255,3598,15853,395,548,943,5651,672,6323,2610,589,3199,3500,1179,4679,12156,2988,15144,377,448,825,5680,435,6115,2546,351,2897,3261,918,4179,11864,2152,14016,290,226,516,5646,572,6218,2127,257,2384,3095,1092,4187,11158,2147,13305,279,255,534,5671,427,6098,2072,198,2270,3085,525,3610,11107,1405,12512,283,213,496,6034,425,6459,1653,156,1809,2774,401,3175,10744,1195,11939,7567,744,8311,1993,361,2354
59,48,MUGLA,TR3,Ege,TR32,1,161,478,639,2740,368,3108,1937,410,2347,1840,555,2395,6678,1811,8489,138,405,543,2746,434,3180,1862,461,2323,1808,602,2410,6554,1902,8456,128,390,518,2758,399,3157,1856,415,2271,1778,570,2348,6520,1774,8294,119,359,478,2729,382,3111,1808,411,2219,1810,575,2385,6466,1727,8193,117,356,473,2793,392,3185,1904,368,2272,1781,500,2281,6595,1616,8211,111,354,465,2837,267,3104,1854,266,2120,1771,453,2224,6573,1340,7913,95,190,285,2761,253,3014,1789,338,2127,1641,462,2103,6286,1243,7529,81,150,231,2588,251,2839,1703,157,1860,1606,97,1703,5978,655,6633,71,174,245,2552,206,2758,1840,199,2039,1458,128,1586,5921,707,6628,4676,541,5217,866,153,1019
60,49,MUS,TRB,Ortadogu Anadolu,TRB2,0,109,39,148,2331,16,2347,1545,41,1586,1048,160,1208,5033,256,5289,91,21,112,2332,32,2364,1546,41,1587,1026,156,1182,4995,250,5245,89,23,112,2400,16,2416,1506,30,1536,933,108,1041,4928,177,5105,89,19,108,2323,0,2323,1452,15,1467,952,83,1035,4816,117,4933,78,30,108,2356,0,2356,1557,11,1568,1008,74,1082,4999,115,5114,75,11,86,2407,0,2407,1621,14,1635,861,76,937,4964,101,5065,70,11,81,2316,14,2330,1529,19,1548,800,100,900,4715,144,4859,75,7,82,2424,12,2436,1190,7,1197,739,0,739,4428,26,4454,68,3,71,2273,11,2284,823,19,842,653,0,653,3817,33,3850,3071,33,3104,222,0,222
61,50,NEVSEHIR,TR7,Orta Anadolu,TR71,0,153,109,262,1078,80,1158,1080,82,1162,769,165,934,3080,436,3516,128,92,220,1082,79,1161,1103,81,1184,771,182,953,3084,434,3518,120,91,211,1103,79,1182,1110,82,1192,762,168,930,3095,420,3515,118,102,220,1092,66,1158,1114,77,1191,748,184,932,3072,429,3501,117,86,203,1088,49,1137,1126,62,1188,726,144,870,3057,341,3398,99,87,186,1099,47,1146,1078,55,1133,731,97,828,3007,286,3293,64,40,104,1127,56,1183,968,59,1027,675,159,834,2834,314,3148,59,19,78,1052,61,1113,971,34,1005,578,95,673,2660,209,2869,43,17,60,1023,32,1055,922,65,987,614,88,702,2602,202,2804,2012,102,2114,474,32,506
62,51,NIGDE,TR7,Orta Anadolu,TR71,0,137,66,203,1430,47,1477,1385,37,1422,1011,50,1061,3963,200,4163,74,58,132,1407,35,1442,1383,29,1412,987,73,1060,3851,195,4046,96,73,169,1361,35,1396,1443,29,1472,983,84,1067,3883,221,4104,70,57,127,1197,28,1225,1471,39,1510,956,77,1033,3694,201,3895,81,50,131,1174,30,1204,1465,32,1497,939,95,1034,3659,207,3866,106,50,156,1137,28,1165,1470,23,1493,885,64,949,3598,165,3763,65,21,86,1111,48,1159,1446,34,1480,765,101,866,3387,204,3591,62,22,84,1142,45,1187,1501,39,1540,784,33,817,3489,139,3628,54,29,83,1114,34,1148,1371,25,1396,758,34,792,3297,122,3419,2470,80,2550,457,35,492
63,52,ORDU,TR9,Dogu Karadeniz,TR90,1,260,210,470,2121,61,2182,1622,72,1694,1817,324,2141,5820,667,6487,223,146,369,2057,100,2157,1643,103,1746,1780,372,2152,5703,721,6424,240,173,413,2072,103,2175,1761,98,1859,1742,349,2091,5815,723,6538,192,143,335,2088,87,2175,1710,117,1827,1694,424,2118,5684,771,6455,190,142,332,1962,65,2027,1800,84,1884,1730,393,2123,5682,684,6366,165,123,288,1960,74,2034,1767,36,1803,1659,328,1987,5551,561,6112,113,63,176,2026,97,2123,1647,50,1697,1643,328,1971,5429,538,5967,90,64,154,1872,65,1937,1641,25,1666,1552,143,1695,5155,297,5452,80,50,130,2133,44,2177,1573,26,1599,1400,174,1574,5186,294,5480,3823,90,3913,848,94,942
64,80,OSMANIYE,TR6,Akdeniz,TR63,0,168,108,276,1980,144,2124,1535,174,1709,1329,303,1632,5012,729,5741,153,99,252,1916,155,2071,1519,170,1689,1305,321,1626,4893,745,5638,163,115,278,1893,144,2037,1548,183,1731,1324,321,1645,4928,763,5691,118,90,208,1762,97,1859,1316,117,1433,1193,353,1546,4389,657,5046,122,90,212,1768,107,1875,1359,140,1499,1226,323,1549,4475,660,5135,126,79,205,1763,90,1853,1305,129,1434,1126,298,1424,4320,596,4916,100,49,149,1828,86,1914,1165,195,1360,1072,322,1394,4165,652,4817,84,29,113,1553,43,1596,1014,57,1071,1055,122,1177,3706,251,3957,68,20,88,1795,45,1840,726,107,833,880,65,945,3469,237,3706,2510,133,2643,535,46,581
65,53,RIZE,TR9,Dogu Karadeniz,TR90,0,167,46,213,1209,92,1301,755,122,877,1068,177,1245,3199,437,3636,110,50,160,1200,77,1277,779,95,874,1058,135,1193,3147,357,3504,150,59,209,1233,76,1309,784,92,876,999,125,1124,3166,352,3518,139,38,177,1270,43,1313,792,53,845,1005,104,1109,3206,238,3444,136,56,192,1322,37,1359,810,41,851,964,87,1051,3232,221,3453,122,39,161,1324,36,1360,791,42,833,986,84,1070,3223,201,3424,96,26,122,1211,85,1296,708,53,761,1037,147,1184,3052,311,3363,73,25,98,1266,60,1326,768,27,795,962,37,999,3069,149,3218,59,20,79,1391,65,1456,587,30,617,995,32,1027,3032,147,3179,1986,109,2095,574,34,608
66,54,SAKARYA,TR4,Dogu Marmara,TR42,1,473,381,854,2282,452,2734,2567,447,3014,2196,566,2762,7518,1846,9364,307,282,589,2201,475,2676,2603,453,3056,2108,593,2701,7219,1803,9022,399,359,758,2211,377,2588,2653,485,3138,2070,613,2683,7333,1834,9167,356,400,756,2202,355,2557,2664,449,3113,2073,521,2594,7295,1725,9020,336,357,693,2175,235,2410,2547,447,2994,1885,344,2229,6943,1383,8326,265,321,586,2235,187,2422,2507,287,2794,1670,293,1963,6677,1088,7765,180,147,327,2273,195,2468,2328,312,2640,1567,320,1887,6348,974,7322,127,129,256,2096,236,2332,2383,153,2536,1519,236,1755,6125,754,6879,91,111,202,1927,206,2133,2495,102,2597,1415,168,1583,5928,587,6515,4248,369,4617,858,60,918
67,55,SAMSUN,TR8,Bati Karadeniz,TR83,1,440,627,1067,3938,423,4361,3413,413,3826,2943,862,3805,10734,2325,13059,331,501,832,3890,419,4309,3404,449,3853,2954,785,3739,10579,2154,12733,330,520,850,3863,370,4233,3281,393,3674,2960,680,3640,10434,1963,12397,305,438,743,3792,405,4197,3145,484,3629,2903,640,3543,10145,1967,12112,300,395,695,3639,305,3944,3204,431,3635,2856,485,3341,9999,1616,11615,314,307,621,3539,234,3773,3181,265,3446,2684,409,3093,9718,1215,10933,228,198,426,3799,209,4008,2732,254,2986,2631,492,3123,9390,1153,10543,160,185,345,3790,225,4015,2811,130,2941,2515,274,2789,9276,814,10090,109,132,241,3488,172,3660,2747,114,2861,2426,211,2637,8770,629,9399,6235,368,6603,1304,152,1456
68,63,SANLIURFA,TRC,Guneydogu Anadolu,TRC2,1,513,182,695,8516,274,8790,6464,432,6896,5128,1266,6394,20621,2154,22775,443,102,545,8471,208,8679,6134,518,6652,4979,1311,6290,20027,2139,22166,450,169,619,8352,226,8578,6086,441,6527,4917,1124,6041,19805,1960,21765,401,177,578,8680,250,8930,5178,474,5652,4840,878,5718,19099,1779,20878,390,161,551,7279,152,7431,5243,295,5538,4948,712,5660,17860,1320,19180,394,122,516,7213,120,7333,4960,265,5225,4126,537,4663,16693,1044,17737,339,70,409,7366,184,7550,4611,167,4778,3953,704,4657,16269,1125,17394,320,48,368,7184,144,7328,3719,100,3819,3564,336,3900,14787,628,15415,317,55,372,7790,128,7918,1381,82,1463,2511,259,2770,11999,524,12523,8993,210,9203,756,86,842
69,56,SIIRT,TRC,Guneydogu Anadolu,TRC3,0,134,6,140,1840,39,1879,900,44,944,995,145,1140,3869,234,4103,127,4,131,1878,21,1899,910,38,948,966,116,1082,3881,179,4060,126,6,132,1791,39,1830,924,43,967,936,119,1055,3777,207,3984,115,6,121,1805,31,1836,933,46,979,843,171,1014,3696,254,3950,115,4,119,1863,32,1895,979,48,1027,790,171,961,3747,255,4002,99,4,103,1803,35,1838,974,50,1024,669,118,787,3545,207,3752,87,14,101,1647,28,1675,798,0,798,725,114,839,3257,156,3413,79,10,89,1702,19,1721,792,0,792,701,38,739,3274,67,3341,72,11,83,1681,16,1697,555,0,555,559,44,603,2867,71,2938,2280,26,2306,208,0,208
70,57,SINOP,TR8,Bati Karadeniz,TR82,0,81,36,117,661,23,684,458,21,479,568,12,580,1768,92,1860,71,27,98,659,25,684,443,25,468,581,12,593,1754,89,1843,74,30,104,679,25,704,470,25,495,567,12,579,1790,92,1882,66,29,95,685,9,694,480,7,487,567,26,593,1798,71,1869,65,31,96,687,0,687,512,0,512,535,36,571,1799,67,1866,63,24,87,721,0,721,490,0,490,505,14,519,1779,38,1817,55,17,72,679,20,699,473,0,473,491,62,553,1698,99,1797,44,15,59,665,16,681,420,0,420,533,0,533,1662,31,1693,33,9,42,794,29,823,397,0,397,539,0,539,1763,38,1801,1184,42,1226,410,4,414
71,73,SIRNAK,TRC,Guneydogu Anadolu,TRC3,0,271,5,276,2288,69,2357,2074,78,2152,1432,394,1826,6065,546,6611,255,3,258,2122,58,2180,1991,83,2074,1385,345,1730,5753,489,6242,213,3,216,1863,88,1951,1848,92,1940,1285,311,1596,5209,494,5703,148,3,151,1767,67,1834,1827,98,1925,1215,254,1469,4957,422,5379,149,0,149,1756,13,1769,1765,29,1794,1410,165,1575,5080,207,5287,132,0,132,1874,32,1906,1877,14,1891,1062,78,1140,4945,124,5069,113,2,115,1086,22,1108,2385,41,2426,991,97,1088,4575,162,4737,103,1,104,1655,44,1699,2179,8,2187,905,4,909,4842,57,4899,125,2,127,1452,0,1452,2139,20,2159,733,6,739,4449,28,4477,4042,24,4066,180,0,180
72,58,SIVAS,TR7,Orta Anadolu,TR72,0,213,104,317,2261,112,2373,1688,187,1875,1686,213,1899,5848,616,6464,167,71,238,2289,70,2359,1649,168,1817,1684,236,1920,5789,545,6334,175,93,268,2406,80,2486,1671,184,1855,1611,225,1836,5863,582,6445,165,99,264,2308,83,2391,1614,89,1703,1548,251,1799,5635,522,6157,151,103,254,2419,83,2502,1720,86,1806,1602,236,1838,5892,508,6400,139,89,228,2439,77,2516,1691,90,1781,1524,222,1746,5793,478,6271,116,45,161,2519,75,2594,1583,82,1665,1507,211,1718,5725,413,6138,108,55,163,2305,65,2370,1611,24,1635,1517,139,1656,5541,283,5824,67,47,114,2452,37,2489,1555,41,1596,1271,113,1384,5345,238,5583,4027,111,4138,908,64,972
73,59,TEKIRDAG,TR2,Bati Marmara,TR21,1,297,443,740,2419,372,2791,1564,297,1861,2067,498,2565,6347,1610,7957,258,421,679,2425,369,2794,1539,309,1848,2102,528,2630,6324,1627,7951,280,434,714,2454,363,2817,1478,308,1786,2023,524,2547,6235,1629,7864,241,375,616,2427,252,2679,1406,273,1679,1833,623,2456,5907,1523,7430,225,362,587,2421,243,2664,1399,253,1652,1841,508,2349,5886,1366,7252,204,300,504,2454,219,2673,1388,180,1568,1765,463,2228,5811,1162,6973,156,188,344,2301,191,2492,1315,147,1462,1539,577,2116,5311,1103,6414,118,157,275,2191,138,2329,1321,39,1360,1433,294,1727,5063,628,5691,123,113,236,2191,71,2262,1156,87,1243,1365,199,1564,4835,470,5305,3464,346,3810,836,80,916
74,60,TOKAT,TR8,Bati Karadeniz,TR83,0,225,64,289,1619,94,1713,1383,78,1461,1247,207,1454,4474,443,4917,191,46,237,1726,88,1814,1451,75,1526,1293,203,1496,4661,412,5073,211,68,279,2019,94,2113,1548,83,1631,1418,198,1616,5196,443,5639,180,72,252,2029,93,2122,1541,107,1648,1350,235,1585,5100,507,5607,182,81,263,2091,70,2161,1549,79,1628,1352,248,1600,5174,478,5652,144,83,227,2255,75,2330,1640,78,1718,1357,211,1568,5396,447,5843,109,63,172,2302,61,2363,1570,70,1640,1236,133,1369,5217,327,5544,73,36,109,2267,73,2340,1373,15,1388,1267,26,1293,4980,150,5130,63,24,87,2636,8,2644,1422,44,1466,1291,0,1291,5412,76,5488,4006,59,4065,801,11,812
75,61,TRABZON,TR9,Dogu Karadeniz,TR90,1,331,194,525,2596,158,2754,1828,131,1959,2262,229,2491,7017,712,7729,285,172,457,2517,166,2683,1791,111,1902,2181,229,2410,6774,678,7452,306,184,490,2576,123,2699,1793,110,1903,2192,241,2433,6867,658,7525,249,159,408,2550,168,2718,1796,144,1940,2072,261,2333,6667,732,7399,234,172,406,2611,157,2768,1832,154,1986,2093,254,2347,6770,737,7507,219,167,386,2591,121,2712,1788,68,1856,2030,178,2208,6628,534,7162,162,91,253,2523,135,2658,1767,58,1825,1864,175,2039,6316,459,6775,141,60,201,2592,124,2716,1732,22,1754,1831,67,1898,6296,273,6569,140,85,225,2752,131,2883,1533,16,1549,1826,71,1897,6251,303,6554,4264,226,4490,1191,71,1262
76,62,TUNCELI,TRB,Ortadogu Anadolu,TRB1,0,64,5,69,238,0,238,166,0,166,234,0,234,702,5,707,59,0,59,232,12,244,164,4,168,230,2,232,685,18,703,56,0,56,229,23,252,164,0,164,244,13,257,693,36,729,48,0,48,230,23,253,159,0,159,261,4,265,698,27,725,51,0,51,246,23,269,178,0,178,252,8,260,727,31,758,45,0,45,265,23,288,179,0,179,279,0,279,768,23,791,30,7,37,260,32,292,154,8,162,260,16,276,704,63,767,35,6,41,240,33,273,138,17,155,268,8,276,681,64,745,29,7,36,251,9,260,146,10,156,226,12,238,652,38,690,439,37,476,198,4,202
77,64,USAK,TR3,Ege,TR33,0,131,165,296,1102,27,1129,870,44,914,809,150,959,2912,386,3298,107,146,253,1110,32,1142,855,52,907,799,144,943,2871,374,3245,110,166,276,1139,36,1175,871,51,922,802,137,939,2922,390,3312,67,165,232,1114,30,1144,859,51,910,819,107,926,2859,353,3212,61,150,211,1138,24,1162,882,51,933,734,99,833,2815,324,3139,36,116,152,1127,15,1142,886,50,936,806,94,900,2855,275,3130,39,64,103,1117,31,1148,837,70,907,751,129,880,2744,294,3038,34,49,83,1128,0,1128,812,36,848,653,19,672,2627,104,2731,30,43,73,1137,33,1170,742,50,792,680,28,708,2589,154,2743,2059,100,2159,450,8,458
78,65,VAN,TRB,Ortadogu Anadolu,TRB2,1,241,83,324,5576,207,5783,2562,208,2770,2965,575,3540,11344,1073,12417,213,77,290,5425,167,5592,2571,213,2784,2960,598,3558,11169,1055,12224,218,82,300,5449,186,5635,2534,174,2708,2885,475,3360,11086,917,12003,209,83,292,5369,178,5547,2465,102,2567,2610,308,2918,10653,671,11324,219,71,290,5185,183,5368,2365,79,2444,2503,252,2755,10272,585,10857,217,43,260,5305,128,5433,2275,45,2320,2405,190,2595,10202,406,10608,164,26,190,5528,118,5646,2665,136,2801,2259,206,2465,10616,486,11102,153,24,177,4931,110,5041,2292,65,2357,2192,63,2255,9568,262,9830,133,12,145,5140,76,5216,1452,146,1598,1810,148,1958,8535,382,8917,5880,171,6051,455,42,497
