gadm_L3number,plate_number,province_upper,NUTS_level1,NUTS_level1_name,NUTS_level2,metropolitan,class_state_pre_21_22,class_private_pre_21_22,class_total_pre_21_22,class_state_ele_21_22,class_private_ele_21_22,class_total_ele_21_22,class_state_mid_21_22,class_private_mid_21_22,class_total_mid_21_22,class_state_high_21_22,class_private_high_21_22,class_total_high_21_22,state_total_class_21_22,private_total_class_21_22,total_class_21_22,class_state_pre_20_21,class_private_pre_20_21,class_total_pre_20_21,class_state_ele_20_21,class_private_ele_20_21,class_total_ele_20_21,class_state_mid_20_21,class_private_mid_20_21,class_total_mid_20_21,class_state_high_20_21,class_private_high_20_21,class_total_high_20_21,state_total_class_20_21,private_total_class_20_21,total_class_20_21,class_state_pre_19_20,class_private_pre_19_20,class_total_pre_19_20,class_state_ele_19_20,class_private_ele_19_20,class_total_ele_19_20,class_state_mid_19_20,class_private_mid_19_20,class_total_mid_19_20,class_state_high_19_20,class_private_high_19_20,class_total_high_19_20,state_total_class_19_20,private_total_class_19_20,total_class_19_20,class_state_pre_18_19,class_private_pre_18_19,class_total_pre_18_19,class_state_ele_18_19,class_private_ele_18_19,class_total_ele_18_19,class_state_mid_18_19,class_private_mid_18_19,class_total_mid_18_19,class_state_high_18_19,class_private_high_18_19,class_total_high_18_19,state_total_class_18_19,private_total_class_18_19,total_class_18_19,class_state_pre_17_18,class_private_pre_17_18,class_total_pre_17_18,class_state_ele_17_18,class_private_ele_17_18,class_total_ele_17_18,class_state_mid_17_18,class_private_mid_17_18,class_total_mid_17_18,class_state_high_17_18,class_private_high_17_18,class_total_high_17_18,state_total_class_17_18,private_total_class_17_18,total_class_17_18,class_state_pre_16_17,class_private_pre_16_17,class_total_pre_16_17,class_state_ele_16_17,class_private_ele_16_17,class_total_ele_16_17,class_state_mid_16_17,class_private_mid_16_17,class_total_mid_16_17,class_state_high_16_17,class_private_high_16_17,class_total_high_16_17,state_total_class_16_17,private_total_class_16_17,total_class_16_17,class_state_pre_15_16,class_private_pre_15_16,class_total_pre_15_16,class_state_ele_15_16,class_private_ele_15_16,class_total_ele_15_16,class_state_mid_15_16,class_private_mid_15_16,class_total_mid_15_16,class_state_high_15_16,class_private_high_15_16,class_total_high_15_16,state_total_class_15_16,private_total_class_15_16,total_class_15_16,class_state_pre_14_15,class_private_pre_14_15,class_total_pre_14_15,class_state_ele_14_15,class_private_ele_14_15,class_total_ele_14_15,class_state_mid_14_15,class_private_mid_14_15,class_total_mid_14_15,class_state_high_14_15,class_private_high_14_15,class_total_high_14_15,state_total_class_14_15,private_total_class_14_15,total_class_14_15,class_state_pre_13_14,class_private_pre_13_14,class_total_pre_13_14,class_state_ele_13_14,class_private_ele_13_14,class_total_ele_13_14,class_state_mid_13_14,class_private_mid_13_14,class_total_mid_13_14,class_state_high_13_14,class_private_high_13_14,class_total_high_13_14,state_total_class_13_14,private_total_class_13_14,total_class_13_14,state_total_class_12_13,private_total_class_12_13,total_class_12_13,state_total_class_02_03,private_total_class_02_03,total_class_02_03
36,30,HAKKARI,TRB,Ortadogu Anadolu,TRB2,0,77,9,86,1156,8,1164,657,16,673,762,154,916,2652,187,2839,77,0,77,1135,0,1135,649,16,665,718,148,866,2579,164,2743,73,0,73,958,0,958,533,15,548,651,120,771,2215,135,2350,73,0,73,1013,0,1013,513,25,538,636,87,723,2235,112,2347,78,3,81,1000,16,1016,502,27,529,575,35,610,2155,81,2236,76,0,76,1106,0,1106,522,10,532,515,35,550,2219,45,2264,62,0,62,978,24,1002,674,17,691,526,41,567,2240,82,2322,46,0,46,1069,17,1086,520,0,520,374,11,385,2009,28,2037,31,0,31,1071,18,1089,344,18,362,389,16,405,1835,52,1887,1948,37,1985,177,0,177
37,31,HATAY,TR6,Akdeniz,TR63,1,548,549,1097,6800,361,7161,3967,473,4440,3662,924,4586,14977,2307,17284,427,406,833,6759,369,7128,3993,502,4495,3576,1044,4620,14755,2321,17076,481,467,948,6677,369,7046,3959,502,4461,3409,1072,4481,14526,2410,16936,426,418,844,6195,377,6572,3490,483,3973,3252,1026,4278,13363,2304,15667,406,429,835,6072,361,6433,3327,456,3783,3309,914,4223,13114,2160,15274,360,314,674,6135,268,6403,3200,374,3574,2935,759,3694,12630,1715,14345,299,172,471,5962,249,6211,2831,316,3147,2562,870,3432,11654,1607,13261,295,115,410,5850,194,6044,2817,174,2991,2374,326,2700,11336,809,12145,256,69,325,5920,198,6118,1976,97,2073,2116,288,2404,10268,652,10920,8098,395,8493,1503,97,1600
38,76,IGDIR,TRA,Kuzeydogu Anadolu,TRA2,0,72,33,105,967,24,991,682,46,728,567,106,673,2288,209,2497,70,21,91,969,23,992,622,35,657,571,73,644,2232,152,2384,69,23,92,973,29,1002,609,42,651,556,77,633,2207,171,2378,63,16,79,929,12,941,580,62,642,547,57,604,2119,147,2266,47,18,65,968,12,980,549,57,606,515,58,573,2079,145,2224,39,6,45,920,12,932,569,65,634,507,66,573,2035,149,2184,38,7,45,843,12,855,498,36,534,409,75,484,1788,130,1918,29,9,38,727,27,754,480,0,480,369,17,386,1605,53,1658,19,7,26,760,31,791,402,31,433,369,12,381,1550,81,1631,1215,34,1249,107,4,111
39,32,ISPARTA,TR6,Akdeniz,TR61,0,191,160,351,1114,95,1209,1479,112,1591,1246,161,1407,4030,528,4558,175,103,278,1163,92,1255,1506,124,1630,1208,175,1383,4052,494,4546,176,127,303,1163,93,1256,1549,112,1661,1207,163,1370,4095,495,4590,144,138,282,1135,112,1247,1567,66,1633,1174,112,1286,4020,428,4448,143,126,269,1130,105,1235,1522,66,1588,1066,108,1174,3861,405,4266,126,102,228,1180,43,1223,1483,47,1530,1097,151,1248,3886,343,4229,115,70,185,1066,37,1103,1495,64,1559,1051,263,1314,3727,434,4161,116,41,157,1335,62,1397,1255,44,1299,1105,96,1201,3811,243,4054,113,26,139,904,0,904,1666,56,1722,1067,64,1131,3750,146,3896,2634,84,2718,885,20,905
40,34,ISTANBUL,TR1,Istanbul,TR10,1,2720,8126,10846,26807,9274,36081,19526,7606,27132,22652,12565,35217,71705,37571,109276,2086,7986,10072,26031,9727,35758,19547,7562,27109,21700,12239,33939,69364,37514,106878,2338,8207,10545,26150,8815,34965,19445,7505,26950,21290,12945,34235,69223,37472,106695,2053,7823,9876,25654,9036,34690,18828,7621,26449,20791,13745,34536,67326,38225,105551,1798,7349,9147,24669,8606,33275,19521,6380,25901,20864,11656,32520,66852,33991,100843,1571,6677,8248,24557,7758,32315,19068,4666,23734,19219,10321,29540,64415,29422,93837,987,4053,5040,23284,7244,30528,17467,4255,21722,17437,10602,28039,59175,26154,85329,593,2933,3526,23163,5101,28264,16141,3187,19328,16276,5997,22273,56173,17218,73391,490,3083,3573,26907,4240,31147,12855,3040,15895,15450,5076,20526,55702,15439,71141,36116,9274,45390,8944,3500,12444
41,35,IZMIR,TR3,Ege,TR31,1,773,2304,3077,8188,2212,10400,6273,1782,8055,6875,2874,9749,22109,9172,31281,600,2259,2859,8348,2282,10630,6177,1912,8089,6825,2815,9640,21950,9268,31218,672,2364,3036,8407,2185,10592,6283,1869,8152,6713,2910,9623,22075,9328,31403,619,2245,2864,8271,2288,10559,6198,1705,7903,6750,2874,9624,21838,9112,30950,608,2154,2762,8257,1902,10159,6294,1590,7884,6635,2326,8961,21794,7972,29766,496,1892,2388,8151,1644,9795,6190,1174,7364,6378,2152,8530,21215,6862,28077,365,1104,1469,8017,1529,9546,5663,1194,6857,5831,2526,8357,19876,6353,26229,362,706,1068,7690,1063,8753,5383,821,6204,5698,1401,7099,19133,3991,23124,325,842,1167,8040,1007,9047,4977,685,5662,5482,955,6437,18824,3489,22313,13095,2297,15392,3649,1279,4928
42,46,KAHRAMANMARAS,TR6,Akdeniz,TR63,1,400,181,581,3711,140,3851,3135,379,3514,2882,483,3365,10128,1183,11311,297,169,466,3603,102,3705,3179,442,3621,2668,428,3096,9747,1141,10888,313,211,524,3549,122,3671,3086,471,3557,2610,438,3048,9558,1242,10800,272,198,470,3581,154,3735,3101,412,3513,2540,441,2981,9494,1205,10699,264,160,424,3697,76,3773,3121,269,3390,2450,371,2821,9532,876,10408,225,93,318,3679,54,3733,3010,260,3270,2261,237,2498,9175,644,9819,172,52,224,3520,113,3633,2727,226,2953,2122,394,2516,8541,785,9326,176,31,207,3173,46,3219,2428,73,2501,1800,159,1959,7577,309,7886,144,30,174,3353,93,3446,2209,247,2456,1766,203,1969,7472,573,8045,5431,332,5763,1089,54,1143
43,78,KARABUK,TR8,Bati Karadeniz,TR81,0,98,47,145,502,58,560,540,41,581,685,62,747,1825,208,2033,77,16,93,514,72,586,553,61,614,686,86,772,1830,235,2065,93,19,112,519,70,589,549,61,610,687,74,761,1848,224,2072,82,19,101,561,48,609,568,28,596,692,44,736,1903,139,2042,88,19,107,559,44,603,617,39,656,666,38,704,1930,140,2070,88,19,107,575,41,616,637,32,669,704,36,740,2004,128,2132,53,20,73,573,47,620,601,34,635,616,42,658,1843,143,1986,34,15,49,586,46,632,566,8,574,586,17,603,1772,86,1858,27,12,39,611,32,643,582,23,605,535,17,552,1755,84,1839,1139,62,1201,393,10,403
44,70,KARAMAN,TR5,Bati Anadolu,TR52,0,113,72,185,1065,50,1115,680,139,819,750,108,858,2608,369,2977,91,53,144,1063,57,1120,671,146,817,782,108,890,2607,364,2971,100,63,163,1062,61,1123,674,105,779,780,80,860,2616,309,2925,92,52,144,1055,76,1131,602,93,695,777,89,866,2526,310,2836,83,44,127,1018,73,1091,622,91,713,775,97,872,2498,305,2803,77,40,117,1000,57,1057,597,94,691,757,91,848,2431,282,2713,52,30,82,983,30,1013,600,134,734,696,101,797,2331,295,2626,43,14,57,1033,30,1063,557,87,644,685,0,685,2318,131,2449,42,15,57,963,30,993,652,88,740,611,0,611,2268,133,2401,1561,96,1657,296,16,312
45,36,KARS,TRA,Kuzeydogu Anadolu,TRA2,0,87,28,115,1609,47,1656,984,38,1022,732,55,787,3412,168,3580,80,17,97,1596,47,1643,964,36,1000,774,55,829,3414,155,3569,82,21,103,1607,47,1654,979,36,1015,762,57,819,3430,161,3591,79,27,106,1561,45,1606,1047,36,1083,744,59,803,3431,167,3598,77,27,104,1578,28,1606,1066,23,1089,710,47,757,3431,125,3556,78,19,97,1575,29,1604,1151,21,1172,690,47,737,3494,116,3610,67,5,72,1567,59,1626,1028,23,1051,556,47,603,3218,134,3352,85,0,85,1534,51,1585,961,8,969,605,28,633,3185,87,3272,63,1,64,1505,47,1552,934,39,973,525,16,541,3027,103,3130,2363,50,2413,302,7,309
