gadm_L3number,plate_number,province_upper,NUTS_level1,NUTS_level1_name,NUTS_level2,metropolitan,student_s_pre_m_21_22,student_s_pre_f_21_22,student_s_pre_total_21_22,student_p_pre_m_21_22,student_p_pre_f_21_22,student_p_pre_total_21_22,student_pre_total_21_22,student_s_pre_m_20_21,student_s_pre_f_20_21,student_s_pre_total_20_21,student_p_pre_m_20_21,student_p_pre_f_20_21,student_p_pre_total_20_21,student_pre_total_20_21,student_s_pre_m_19_20,student_s_pre_f_19_20,student_s_pre_total_19_20,student_p_pre_m_19_20,student_p_pre_f_19_20,student_p_pre_total_19_20,student_pre_total_19_20,student_s_pre_m_18_19,student_s_pre_f_18_19,student_s_pre_total_18_19,student_p_pre_m_18_19,student_p_pre_f_18_19,student_p_pre_total_18_19,student_pre_total_18_19,student_s_pre_m_17_18,student_s_pre_f_17_18,student_s_pre_total_17_18,student_p_pre_m_17_18,student_p_pre_f_17_18,student_p_pre_total_17_18,student_pre_total_17_18,student_s_pre_m_16_17,student_s_pre_f_16_17,student_s_pre_total_16_17,student_p_pre_m_16_17,student_p_pre_f_16_17,student_p_pre_total_16_17,student_pre_total_16_17,student_s_pre_m_15_16,student_s_pre_f_15_16,student_s_pre_total_15_16,student_p_pre_m_15_16,student_p_pre_f_15_16,student_p_pre_total_15_16,student_pre_total_15_16,student_s_pre_m_14_15,student_s_pre_f_14_15,student_s_pre_total_14_15,student_p_pre_m_14_15,student_p_pre_f_14_15,student_p_pre_total_14_15,student_pre_total_14_15,student_s_pre_m_13_14,student_s_pre_f_13_14,student_s_pre_total_13_14,student_p_pre_m_13_14,student_p_pre_f_13_14,student_p_pre_total_13_14,student_pre_total_13_14,student_s_pre_m_12_13,student_s_pre_f_12_13,student_s_pre_total_12_13,student_p_pre_m_12_13,student_p_pre_f_12_13,student_p_pre_total_12_13,student_pre_total_12_13,student_s_ele_m_21_22,student_s_ele_f_21_22,student_s_ele_total_21_22,student_p_ele_m_21_22,student_p_ele_f_21_22,student_p_ele_total_21_22,student_ele_total_21_22,student_s_ele_m_20_21,student_s_ele_f_20_21,student_s_ele_total_20_21,student_p_ele_m_20_21,student_p_ele_f_20_21,student_p_ele_total_20_21,student_ele_total_20_21,student_s_ele_m_19_20,student_s_ele_f_19_20,student_s_ele_total_19_20,student_p_ele_m_19_20,student_p_ele_f_19_20,student_p_ele_total_19_20,student_ele_total_19_20,student_s_ele_m_18_19,student_s_ele_f_18_19,student_s_ele_total_18_19,student_p_ele_m_18_19,student_p_ele_f_18_19,student_p_ele_total_18_19,student_ele_total_18_19,student_s_ele_m_17_18,student_s_ele_f_17_18,student_s_ele_total_17_18,student_p_ele_m_17_18,student_p_ele_f_17_18,student_p_ele_total_17_18,student_ele_total_17_18,student_s_ele_m_16_17,student_s_ele_f_16_17,student_s_ele_total_16_17,student_p_ele_m_16_17,student_p_ele_f_16_17,student_p_ele_total_16_17,student_ele_total_16_17,student_s_ele_m_15_16,student_s_ele_f_15_16,student_s_ele_total_15_16,student_p_ele_m_15_16,student_p_ele_f_15_16,student_p_ele_total_15_16,student_ele_total_15_16,student_s_ele_m_14_15,student_s_ele_f_14_15,student_s_ele_total_14_15,student_p_ele_m_14_15,student_p_ele_f_14_15,student_p_ele_total_14_15,student_ele_total_14_15,student_s_ele_m_13_14,student_s_ele_f_13_14,student_s_ele_total_13_14,student_p_ele_m_13_14,student_p_ele_f_13_14,student_p_ele_total_13_14,student_ele_total_13_14,student_s_ele_m_12_13,student_s_ele_f_12_13,student_s_ele_total_12_13,student_p_ele_m_12_13,student_p_ele_f_12_13,student_p_ele_total_12_13,student_ele_total_12_13,student_s_mid_m_21_22,student_s_mid_f_21_22,student_s_mid_total_21_22,student_p_mid_m_21_22,student_p_mid_f_21_22,student_p_mid_total_21_22,student_mid_total_21_22,student_s_mid_m_20_21,student_s_mid_f_20_21,student_s_mid_total_20_21,student_p_mid_m_20_21,student_p_mid_f_20_21,student_p_mid_total_20_21,student_mid_total_20_21,student_s_mid_m_19_20,student_s_mid_f_19_20,student_s_mid_total_19_20,student_p_mid_m_19_20,student_p_mid_f_19_20,student_p_mid_total_19_20,student_mid_total_19_20,student_s_mid_m_18_19,student_s_mid_f_18_19,student_s_mid_total_18_19,student_p_mid_m_18_19,student_p_mid_f_18_19,student_p_mid_total_18_19,student_mid_total_18_19,student_s_mid_m_17_18,student_s_mid_f_17_18,student_s_mid_total_17_18,student_p_mid_m_17_18,student_p_mid_f_17_18,student_p_mid_total_17_18,student_mid_total_17_18,student_s_mid_m_16_17,student_s_mid_f_16_17,student_s_mid_total_16_17,student_p_mid_m_16_17,student_p_mid_f_16_17,student_p_mid_total_16_17,student_mid_total_16_17,student_s_mid_m_15_16,student_s_mid_f_15_16,student_s_mid_total_15_16,student_p_mid_m_15_16,student_p_mid_f_15_16,student_p_mid_total_15_16,student_mid_total_15_16,student_s_mid_m_14_15,student_s_mid_f_14_15,student_s_mid_total_14_15,student_p_mid_m_14_15,student_p_mid_f_14_15,student_p_mid_total_14_15,student_mid_total_14_15,student_s_mid_m_13_14,student_s_mid_f_13_14,student_s_mid_total_13_14,student_p_mid_m_13_14,student_p_mid_f_13_14,student_p_mid_total_13_14,student_mid_total_13_14,student_s_mid_m_12_13,student_s_mid_f_12_13,student_s_mid_total_12_13,student_p_mid_m_12_13,student_p_mid_f_12_13,student_p_mid_total_12_13,student_mid_total_12_13,student_s_high_m_21_22,student_s_high_f_21_22,student_s_high_total_21_22,student_p_high_m_21_22,student_p_high_f_21_22,student_p_high_total_21_22,student_high_total_21_22,student_s_high_m_20_21,student_s_high_f_20_21,student_s_high_total_20_21,student_p_high_m_20_21,student_p_high_f_20_21,student_p_high_total_20_21,student_high_total_20_21,student_s_high_m_19_20,student_s_high_f_19_20,student_s_high_total_19_20,student_p_high_m_19_20,student_p_high_f_19_20,student_p_high_total_19_20,student_high_total_19_20,student_s_high_m_18_19,student_s_high_f_18_19,student_s_high_total_18_19,student_p_high_m_18_19,student_p_high_f_18_19,student_p_high_total_18_19,student_high_total_18_19,student_s_high_m_17_18,student_s_high_f_17_18,student_s_high_total_17_18,student_p_high_m_17_18,student_p_high_f_17_18,student_p_high_total_17_18,student_high_total_17_18,student_s_high_m_16_17,student_s_high_f_16_17,student_s_high_total_16_17,student_p_high_m_16_17,student_p_high_f_16_17,student_p_high_total_16_17,student_high_total_16_17,student_s_high_m_15_16,student_s_high_f_15_16,student_s_high_total_15_16,student_p_high_m_15_16,student_p_high_f_15_16,student_p_high_total_15_16,student_high_total_15_16,student_s_high_m_14_15,student_s_high_f_14_15,student_s_high_total_14_15,student_p_high_m_14_15,student_p_high_f_14_15,student_p_high_total_14_15,student_high_total_14_15,student_s_high_m_13_14,student_s_high_f_13_14,student_s_high_total_13_14,student_p_high_m_13_14,student_p_high_f_13_14,student_p_high_total_13_14,student_high_total_13_14,student_s_high_m_12_13,student_s_high_f_12_13,student_s_high_total_12_13,student_p_high_m_12_13,student_p_high_f_12_13,student_p_high_total_12_13,student_high_total_12_13,student_s_all_m_21_22,student_s_all_f_21_22,student_s_all_total_21_22,student_p_all_m_21_22,student_p_all_f_21_22,student_p_all_total_21_22,student_all_total_21_22,student_s_all_m_20_21,student_s_all_f_20_21,student_s_all_total_20_21,student_p_all_m_20_21,student_p_all_f_20_21,student_p_all_total_20_21,student_all_total_20_21,student_s_all_m_19_20,student_s_all_f_19_20,student_s_all_total_19_20,student_p_all_m_19_20,student_p_all_f_19_20,student_p_all_total_19_20,student_all_total_19_20,student_s_all_m_18_19,student_s_all_f_18_19,student_s_all_total_18_19,student_p_all_m_18_19,student_p_all_f_18_19,student_p_all_total_18_19,student_all_total_18_19,student_s_all_m_17_18,student_s_all_f_17_18,student_s_all_total_17_18,student_p_all_m_17_18,student_p_all_f_17_18,student_p_all_total_17_18,student_all_total_17_18,student_s_all_m_16_17,student_s_all_f_16_17,student_s_all_total_16_17,student_p_all_m_16_17,student_p_all_f_16_17,student_p_all_total_16_17,student_all_total_16_17,student_s_all_m_15_16,student_s_all_f_15_16,student_s_all_total_15_16,student_p_all_m_15_16,student_p_all_f_15_16,student_p_all_total_15_16,student_all_total_15_16,student_s_all_m_14_15,student_s_all_f_14_15,student_s_all_total_14_15,student_p_all_m_14_15,student_p_all_f_14_15,student_p_all_total_14_15,student_all_total_14_15,student_s_all_m_13_14,student_s_all_f_13_14,student_s_all_total_13_14,student_p_all_m_13_14,student_p_all_f_13_14,student_p_all_total_13_14,student_all_total_13_14,student_s_all_m_12_13,student_s_all_f_12_13,student_s_all_total_12_13,student_p_all_m_12_13,student_p_all_f_12_13,student_p_all_total_12_13,student_all_total_12_13
1,1,ADANA,TR6,Akdeniz,TR62,1,22426,21309,43735,4215,3557,7772,51507,13712,12587,26299,2441,2048,4489,30788,19912,18399,38311,3272,2796,6068,44379,19789,18196,37985,3166,2676,5842,43827,19202,17816,37018,2881,2487,5368,42386,18966,17284,36250,2420,2130,4550,40800,16482,14778,31260,1962,1733,3695,34955,14929,13356,28285,1169,1033,2202,30487,13915,12504,26419,1451,1241,2692,29111,13603,12505,26108,1510,1304,2814,28922,84590,79911,164501,3322,3068,6390,170891,83496,78811,162307,2933,2678,5611,167918,82441,77673,160114,3011,2740,5751,165865,81089,76875,157964,2935,2702,5637,163601,77503,73499,151002,2736,2486,5222,156224,73890,70070,143960,2550,2287,4837,148797,80169,76526,156695,2762,2438,5200,161895,82482,78583,161065,2417,2127,4544,165609,84194,80086,164280,2167,1905,4072,168352,85344,80870,166214,1866,1732,3598,169812,78408,75930,154338,4662,4084,8746,163084,77061,74719,151780,4184,3655,7839,159619,83630,81870,165500,4723,4249,8972,174472,80484,78236,158720,4768,4274,9042,167762,78959,76314,155273,4636,4097,8733,164006,79476,76576,156052,4181,3684,7865,163917,72875,70749,143624,3631,3159,6790,150414,75263,73255,148518,2906,2504,5410,153928,79379,77969,157348,2499,2211,4710,162058,81243,79282,160525,2167,1863,4030,164555,91003,81765,172768,8873,5541,14414,187182,83620,78014,161634,9258,5524,14782,176416,75085,68263,143348,9500,5966,15466,158814,75424,67033,142457,10503,7077,17580,160037,74725,69224,143949,10748,7331,18079,162028,78998,70723,149721,9968,7156,17124,166845,78488,71503,149991,9133,7257,16390,166381,95898,82766,178664,5426,4192,9618,188282,78077,70105,148182,3795,3245,7040,155222,74747,66812,141559,2453,2282,4735,146294,276427,258915,535342,21072,16250,37322,572664,257889,244131,502020,18816,13905,32721,534741,261068,246205,507273,20506,15751,36257,543530,256786,240340,497126,21372,16729,38101,535227,250389,236853,487242,21001,16401,37402,524644,251330,234653,485983,19119,15257,34376,520359,248014,233556,481570,17488,14587,32075,513645,268572,247960,516532,11918,9856,21774,538306,255565,240664,496229,9912,8602,18514,514743,254937,239469,494406,7996,7181,15177,509583
2,2,ADIYAMAN,TRC,Guneydogu Anadolu,TRC1,0,8659,8078,16737,766,583,1349,18086,5955,5578,11533,278,209,487,12020,6443,6140,12583,516,461,977,13560,6753,6104,12857,314,283,597,13454,6494,5988,12482,304,263,567,13049,5807,5325,11132,314,238,552,11684,5214,4610,9824,267,225,492,10316,4973,4615,9588,229,207,436,10024,4564,4280,8844,186,166,352,9196,4970,4781,9751,130,133,263,10014,25507,24008,49515,478,457,935,50450,25316,23695,49011,375,329,704,49715,25027,23319,48346,325,281,606,48952,25063,23615,48678,273,207,480,49158,25137,23780,48917,241,176,417,49334,24417,23489,47906,195,156,351,48257,25482,24719,50201,240,207,447,50648,26164,25199,51363,248,201,449,51812,26759,25706,52465,234,209,443,52908,27510,26001,53511,221,160,381,53892,24187,23372,47559,659,506,1165,48724,24105,23309,47414,559,421,980,48394,26118,25611,51729,533,414,947,52676,26317,25428,51745,424,331,755,52500,26172,25266,51438,352,263,615,52053,26306,25173,51479,312,216,528,52007,24269,23347,47616,258,190,448,48064,24728,23979,48707,283,211,494,49201,26424,25642,52066,306,221,527,52593,27248,26472,53720,256,192,448,54168,32854,27687,60541,1725,1006,2731,63272,29315,25817,55132,1732,928,2660,57792,25508,22566,48074,1754,923,2677,50751,25924,22531,48455,1922,991,2913,51368,26381,23244,49625,2077,1064,3141,52766,27707,24357,52064,1818,1020,2838,54902,29263,25755,55018,1329,890,2219,57237,29475,25885,55360,535,358,893,56253,28436,24706,53142,370,269,639,53781,27084,22980,50064,191,131,322,50386,91207,83145,174352,3628,2552,6180,180532,84691,78399,163090,2944,1887,4831,167921,83096,77636,160732,3128,2079,5207,165939,84057,77678,161735,2933,1812,4745,166480,84184,78278,162462,2974,1766,4740,167202,84237,78344,162581,2639,1630,4269,166850,84228,78431,162659,2094,1512,3606,166265,85340,79678,165018,1295,977,2272,167290,86183,80334,166517,1096,865,1961,168478,86812,80234,167046,798,616,1414,168460
3,3,AFYONKARAHISAR,TR3,Ege,TR33,0,6466,6157,12623,1066,920,1986,14609,5017,4673,9690,586,524,1110,10800,5993,5640,11633,680,611,1291,12924,6098,5605,11703,660,548,1208,12911,5898,5436,11334,570,540,1110,12444,5738,5143,10881,538,508,1046,11927,5038,4682,9720,508,444,952,10672,4745,4322,9067,411,362,773,9840,4628,4261,8889,302,263,565,9454,5074,4668,9742,258,219,477,10219,21482,20148,41630,542,527,1069,42699,21364,19972,41336,456,440,896,42232,21275,19873,41148,436,448,884,42032,21165,19972,41137,471,451,922,42059,20584,19459,40043,467,378,845,40888,20457,19488,39945,446,369,815,40760,22257,21421,43678,566,450,1016,44694,23139,22141,45280,437,326,763,46043,24760,23833,48593,319,264,583,49176,24978,23960,48938,290,247,537,49475,20847,19809,40656,677,568,1245,41901,20742,19918,40660,583,486,1069,41729,22744,22366,45110,678,521,1199,46309,23095,22450,45545,756,580,1336,46881,23442,22797,46239,699,599,1298,47537,23494,22885,46379,707,558,1265,47644,21771,20772,42543,782,639,1421,43964,22286,21252,43538,412,322,734,44272,23390,22396,45786,320,274,594,46380,24152,23210,47362,314,255,569,47931,25157,23505,48662,2128,1013,3141,51803,24916,23186,48102,2292,1122,3414,51516,22469,20306,42775,2236,1177,3413,46188,22496,20271,42767,2251,1231,3482,46249,22477,21570,44047,2211,1249,3460,47507,24186,21795,45981,1855,1103,2958,48939,24014,22032,46046,1369,973,2342,48388,25219,22000,47219,651,505,1156,48375,23053,20592,43645,391,348,739,44384,21157,18302,39459,219,179,398,39857,73952,69619,143571,4413,3028,7441,151012,72039,67749,139788,3917,2572,6489,146277,72481,68185,140666,4030,2757,6787,147453,72854,68298,141152,4138,2810,6948,148100,72401,69262,141663,3947,2766,6713,148376,73875,69311,143186,3546,2538,6084,149270,73080,68907,141987,3225,2506,5731,147718,75389,69715,145104,1911,1515,3426,148530,75831,71082,146913,1332,1149,2481,149394,75361,70140,145501,1081,900,1981,147482
4,4,AGRI,TRA,Kuzeydogu Anadolu,TRA2,0,6835,6514,13349,219,232,451,13800,5733,5328,11061,94,100,194,11255,5973,5725,11698,111,121,232,11930,6299,5799,12098,114,86,200,12298,6151,5650,11801,61,48,109,11910,4999,4483,9482,61,67,128,9610,4843,4382,9225,68,61,129,9354,4847,4485,9332,78,61,139,9471,4468,3996,8464,52,40,92,8556,3932,3666,7598,45,27,72,7670,24321,22980,47301,213,216,429,47730,25121,23576,48697,157,167,324,49021,25442,23844,49286,174,166,340,49626,26573,25399,51972,184,142,326,52298,26643,25257,51900,180,126,306,52206,27028,25770,52798,173,143,316,53114,30614,29614,60228,256,202,458,60686,31533,30732,62265,254,214,468,62733,34227,34710,68937,199,169,368,69305,35928,36548,72476,187,144,331,72807,24620,23315,47935,175,157,332,48267,25803,24081,49884,180,158,338,50222,27846,26396,54242,230,181,411,54653,27991,26485,54476,195,157,352,54828,28502,27136,55638,207,155,362,56000,30313,29172,59485,242,150,392,59877,29253,28236,57489,283,188,471,57960,30496,29443,59939,287,185,472,60411,34603,34540,69143,202,136,338,69481,33915,32630,66545,166,103,269,66814,23627,21277,44904,868,472,1340,46244,21314,20378,41692,812,363,1175,42867,18953,17913,36866,767,365,1132,37998,19111,17485,36596,944,485,1429,38025,18917,17290,36207,950,514,1464,37671,19801,17145,36946,695,428,1123,38069,20453,16958,37411,511,349,860,38271,21517,17222,38739,45,27,72,38811,18890,14085,32975,0,0,0,32975,16629,11551,28180,0,0,0,28180,79403,74086,153489,1475,1077,2552,156041,77971,73363,151334,1243,788,2031,153365,78214,73878,152092,1282,833,2115,154207,79974,75168,155142,1437,870,2307,157449,80213,75333,155546,1398,843,2241,157787,82141,76570,158711,1171,788,1959,160670,85163,79190,164353,1118,800,1918,166271,88393,81882,170275,664,487,1151,171426,92188,87331,179519,453,345,798,180317,90404,84395,174799,398,274,672,175471
5,68,AKSARAY,TR7,Orta Anadolu,TR71,0,3844,3536,7380,584,437,1021,8401,3554,3309,6863,291,258,549,7412,3541,3422,6963,331,302,633,7596,3598,3358,6956,300,261,561,7517,3678,3404,7082,293,291,584,7666,3378,3247,6625,278,249,527,7152,3041,2979,6020,302,271,573,6593,3586,3203,6789,176,153,329,7118,2774,2459,5233,201,140,341,5574,2901,2653,5554,162,130,292,5846,13510,12926,26436,425,374,799,27235,13489,12912,26401,347,318,665,27066,13498,12965,26463,315,274,589,27052,13657,12959,26616,330,269,599,27215,13352,12682,26034,319,253,572,26606,13069,12441,25510,338,261,599,26109,14196,13344,27540,456,376,832,28372,14177,13648,27825,381,301,682,28507,15800,15037,30837,297,247,544,31381,15753,14935,30688,276,230,506,31194,13286,12874,26160,537,396,933,27093,13231,12798,26029,528,368,896,26925,14524,13899,28423,539,362,901,29324,14455,14019,28474,443,341,784,29258,14531,13865,28396,403,367,770,29166,14371,13743,28114,410,362,772,28886,12905,12606,25511,494,406,900,26411,13233,12873,26106,470,363,833,26939,13957,13714,27671,333,270,603,28274,14478,14113,28591,352,293,645,29236,17125,14673,31798,1286,774,2060,33858,16355,13924,30279,1462,793,2255,32534,13194,12154,25348,1513,912,2425,27773,14256,12181,26437,1563,974,2537,28974,14293,13064,27357,1328,897,2225,29582,15731,13400,29131,900,790,1690,30821,14020,13363,27383,819,825,1644,29027,13594,13198,26792,368,320,688,27480,12829,12223,25052,332,287,619,25671,11556,10901,22457,237,184,421,22878,47765,44009,91774,2832,1981,4813,96587,46629,42943,89572,2628,1737,4365,93937,44757,42440,87197,2698,1850,4548,91745,45966,42517,88483,2636,1845,4481,92964,45854,43015,88869,2343,1808,4151,93020,46549,42831,89380,1926,1662,3588,92968,44162,42292,86454,2071,1878,3949,90403,44590,42922,87512,1395,1137,2532,90044,45360,43433,88793,1163,944,2107,90900,44688,42602,87290,1027,837,1864,89154
6,5,AMASYA,TR8,Bati Karadeniz,TR83,0,3048,2931,5979,656,545,1201,7180,2498,2306,4804,279,229,508,5312,3117,2819,5936,423,376,799,6735,3019,2784,5803,376,315,691,6494,3082,2856,5938,324,319,643,6581,2849,2606,5455,265,219,484,5939,2557,2344,4901,285,244,529,5430,2683,2443,5126,225,166,391,5517,3082,2783,5865,153,143,296,6161,2973,2720,5693,129,146,275,5968,8213,7544,15757,462,422,884,16641,8171,7529,15700,423,411,834,16534,8012,7600,15612,458,391,849,16461,8172,7708,15880,421,369,790,16670,8179,7691,15870,341,297,638,16508,8129,7645,15774,249,216,465,16239,8561,8119,16680,366,332,698,17378,8833,8325,17158,343,289,632,17790,9168,8565,17733,344,272,616,18349,9423,8937,18360,347,280,627,18987,8290,7986,16276,461,433,894,17170,8265,7917,16182,437,394,831,17013,8916,8711,17627,498,434,932,18559,8928,8707,17635,502,424,926,18561,9027,8665,17692,494,405,899,18591,9269,9064,18333,394,328,722,19055,8792,8740,17532,451,422,873,18405,9170,9340,18510,419,365,784,19294,9729,9763,19492,481,344,825,20317,10233,10190,20423,495,351,846,21269,11716,10621,22337,607,532,1139,23476,11877,10783,22660,578,500,1078,23738,10511,9697,20208,659,527,1186,21394,10989,10021,21010,628,524,1152,22162,11431,10865,22296,603,469,1072,23368,11852,11274,23126,558,425,983,24109,12073,11474,23547,471,431,902,24449,12370,11619,23989,129,109,238,24227,12287,11270,23557,49,49,98,23655,11941,10653,22594,57,42,99,22693,31267,29082,60349,2186,1932,4118,64467,30811,28535,59346,1717,1534,3251,62597,30556,28827,59383,2038,1728,3766,63149,31108,29220,60328,1927,1632,3559,63887,31719,30077,61796,1762,1490,3252,65048,32099,30589,62688,1466,1188,2654,65342,31983,30677,62660,1573,1429,3002,65662,33056,31727,64783,1116,929,2045,66828,34266,32381,66647,1027,808,1835,68482,34570,32500,67070,1028,819,1847,68917
7,6,ANKARA,TR5,Bati Anadolu,TR51,1,38750,37294,76044,19411,16747,36158,112202,20326,19057,39383,10256,8556,18812,58195,37221,35194,72415,15127,13316,28443,100858,34095,31968,66063,13545,12145,25690,91753,32103,30025,62128,12818,11515,24333,86461,30422,28017,58439,12137,10586,22723,81162,27678,25243,52921,10800,9533,20333,73254,19689,17756,37445,1966,1801,3767,41212,25893,23592,49485,8382,7773,16155,65640,26462,24317,50779,8069,7472,15541,66320,147387,140462,287849,19987,18290,38277,326126,145963,138559,284522,17447,16150,33597,318119,144484,137581,282065,17977,16489,34466,316531,143330,136110,279440,17206,15798,33004,312444,139968,132074,272042,16078,14688,30766,302808,137495,129856,267351,14899,13561,28460,295811,145417,137908,283325,15891,14319,30210,313535,148033,140583,288616,13866,12578,26444,315060,149353,141955,291308,12156,11131,23287,314595,148641,140909,289550,10644,9682,20326,309876,141745,138433,280178,21157,19288,40445,320623,141540,137930,279470,19166,17356,36522,315992,153162,152813,305975,21319,19051,40370,346345,150886,148920,299806,20150,18110,38260,338066,148768,147108,295876,19435,17312,36747,332623,148122,146463,294585,17558,15711,33269,327854,137104,139069,276173,17145,15287,32432,308605,140838,140695,281533,13612,11828,25440,306973,145813,145344,291157,11917,10383,22300,313457,148683,148399,297082,10598,9209,19807,316889,186431,174378,360809,30119,26415,56534,417343,187719,177075,364794,27773,24661,52434,417228,162200,150559,312759,30704,28036,58740,371499,159357,147620,306977,33099,29150,62249,369226,157671,151827,309498,33482,29026,62508,372006,168622,153602,322224,31227,27917,59144,381368,168044,154814,322858,28049,27734,55783,378641,175289,160259,335548,15587,14191,29778,365326,173163,157640,330803,12398,11682,24080,354883,164112,149920,314032,9423,8856,18279,332311,514313,490567,1004880,90674,80740,171414,1176294,495548,472621,968169,74642,66723,141365,1109534,497067,476147,973214,85127,76892,162019,1135233,487668,464618,952286,84000,75203,159203,1111489,478510,461034,939544,81813,72541,154354,1093898,484661,457938,942599,75821,67775,143596,1086195,478243,457034,935277,71885,66873,138758,1074035,483849,459293,943142,45031,40398,85429,1028571,494222,468531,962753,44853,40969,85822,1048575,487898,463545,951443,38734,35219,73953,1025396
8,7,ANTALYA,TR6,Akdeniz,TR61,1,23178,21968,45146,10095,8675,18770,63916,17061,16264,33325,5700,5025,10725,44050,20794,19579,40373,8071,7016,15087,55460,21569,19931,41500,6663,5961,12624,54124,21413,19823,41236,6003,5246,11249,52485,20038,18525,38563,5200,4397,9597,48160,18429,17194,35623,5275,4576,9851,45474,22254,20324,42578,10060,9197,19257,61835,16861,15322,32183,3492,3182,6674,38857,17197,15767,32964,3070,2831,5901,38865,72208,67161,139369,7105,6693,13798,153167,70727,65737,136464,5945,5540,11485,147949,69690,65025,134715,6373,5702,12075,146790,67429,63411,130840,5917,5194,11111,141951,64700,61509,126209,5140,4467,9607,135816,63550,60199,123749,4546,3951,8497,132246,69182,65973,135155,4886,4242,9128,144283,69424,66029,135453,4093,3665,7758,143211,70215,66637,136852,3787,3298,7085,143937,69844,66231,136075,3471,3019,6490,142565,67219,64308,131527,7645,7148,14793,146320,66380,63779,130159,6744,6200,12944,143103,72061,71088,143149,7968,7078,15046,158195,70409,69177,139586,7395,6569,13964,153550,69945,68458,138403,7037,6226,13263,151666,70689,68919,139608,5720,4996,10716,150324,65551,64819,130370,5262,4694,9956,140326,66029,64918,130947,4233,3639,7872,138819,66759,65734,132493,3733,3186,6919,139412,68139,66752,134891,3368,2944,6312,141203,93112,83504,176616,9139,7905,17044,193660,87592,82165,169757,8305,7558,15863,185620,78595,70424,149019,9388,8904,18292,167311,77960,69717,147677,9646,8529,18175,165852,76291,72394,148685,9235,8283,17518,166203,81270,71632,152902,8139,7854,15993,168895,78302,72104,150406,7318,7645,14963,165369,77791,72326,150117,3612,3829,7441,157558,74271,68914,143185,2984,3339,6323,149508,67120,63533,130653,2567,2703,5270,135923,255717,236941,492658,33984,30421,64405,557063,241760,227945,469705,26694,24323,51017,520722,241140,226116,467256,31800,28700,60500,527756,237367,222236,459603,29621,26253,55874,515477,232349,222184,454533,27415,24222,51637,506170,235547,219275,454822,23605,21198,44803,499625,231464,220090,451554,22741,21157,43898,495452,235498,223597,459095,21998,20330,42328,501423,228106,216607,444713,13996,13005,27001,471714,222300,212283,434583,12476,11497,23973,458556
9,75,ARDAHAN,TRA,Kuzeydogu Anadolu,TRA2,0,877,882,1759,73,59,132,1891,748,718,1466,34,24,58,1524,810,738,1548,27,20,47,1595,770,734,1504,30,23,53,1557,840,727,1567,21,13,34,1601,776,666,1442,23,22,45,1487,699,637,1336,26,38,64,1400,2734,2474,5208,510,426,936,6144,702,707,1409,18,20,38,1447,895,951,1846,10,3,13,1859,2584,2357,4941,0,0,0,4941,2656,2366,5022,0,0,0,5022,2662,2441,5103,0,0,0,5103,2832,2616,5448,0,0,0,5448,2779,2666,5445,0,0,0,5445,2796,2719,5515,0,0,0,5515,3229,3107,6336,51,43,94,6430,3483,3366,6849,37,27,64,6913,3774,3619,7393,21,16,37,7430,4096,3859,7955,0,0,0,7955,2726,2612,5338,0,0,0,5338,2777,2703,5480,0,0,0,5480,3252,3066,6318,0,0,0,6318,3396,3251,6647,0,0,0,6647,3533,3380,6913,0,0,0,6913,3747,3533,7280,0,0,0,7280,3391,3256,6647,18,25,43,6690,3602,3327,6929,0,0,0,6929,3870,3641,7511,0,0,0,7511,4163,3824,7987,0,0,0,7987,4056,3555,7611,0,0,0,7611,3794,3487,7281,0,0,0,7281,3266,3042,6308,0,0,0,6308,3286,3078,6364,0,0,0,6364,3426,3228,6654,0,0,0,6654,3742,3418,7160,0,0,0,7160,3890,3648,7538,524,539,1063,8601,3946,3685,7631,0,0,0,7631,3991,3594,7585,0,0,0,7585,3656,3358,7014,0,0,0,7014,10243,9406,19649,73,59,132,19781,9975,9274,19249,34,24,58,19307,9990,9287,19277,27,20,47,19324,10284,9679,19963,30,23,53,20016,10578,10001,20579,21,13,34,20613,11061,10336,21397,23,22,45,21442,11209,10648,21857,619,645,1264,23121,13765,12852,26617,547,453,1000,27617,12337,11561,23898,39,36,75,23973,12810,11992,24802,10,3,13,24815
